Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Operadora,Contrato,Campo,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
CASANARE,SAN LUIS DE PALENQUE,5.274955665,-71.81749276,POINT (-71.81749276 5.274955665),COLOMBIA ENERGY DEVELOPMENT CO,PANTRO,LLA 23,0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0001,0.0019,0.057,,
CASANARE,SAN LUIS DE PALENQUE,5.274955665,-71.81749276,POINT (-71.81749276 5.274955665),PERENCO COLOMBIA LIMITED,REMACHE NORTE,COROCORA,0.0226,0.0227,0.022,0.0289,0.0355,0.0306,0.0321,0.0314,0.2258,6.774,,
CASANARE,SAN LUIS DE PALENQUE,5.274955665,-71.81749276,POINT (-71.81749276 5.274955665),PERENCO COLOMBIA LIMITED,REMACHE SUR,COROCORA,0.0733,0.0717,0.076,0.0741,0.062,0.0684,0.0697,0.0668,0.562,16.86,,
CASANARE,TAURAMENA,4.697463691,-72.62922436,POINT (-72.62922436 4.697463691),VERANO ENERGY LIMITED SUCURSAL,CALONA,LLA 32,0.5374,0.3776,0.2097,0.319,0.6889,1.4437,1.3724,1.166,6.1147,183.441,,
CASANARE,TAURAMENA,4.697463691,-72.62922436,POINT (-72.62922436 4.697463691),Frontera Energy Colombia Corp Sucursal Colombia,Canaguay,CANAGUARO,0.0416,0.0303,0.0234,0.0199,0.0126,0.02,0.0162,0.0154,0.1794,5.382,,
CASANARE,TAURAMENA,4.697463691,-72.62922436,POINT (-72.62922436 4.697463691),VERANO ENERGY LIMITED SUCURSAL,CARMENTEA,LLA 32,2.2435,0,5.3718,11.2772,10.4253,10.0969,9.888,9.5434,58.8461,1765.383,,
CASANARE,TAURAMENA,4.697463691,-72.62922436,POINT (-72.62922436 4.697463691),ECOPETROL S.A.,CUSIANA,RÍO CHITAMENA,34.6013,34.3287,34.0754,33.3098,32.2599,31.6674,32.0435,32.4023,264.6883,7940.649,,
CASANARE,TAURAMENA,4.697463691,-72.62922436,POINT (-72.62922436 4.697463691),ECOPETROL S.A.,CUSIANA,TAURAMENA,91.069,89.0343,85.5336,78.4704,88.9923,82.4272,77.8242,79.355,672.706,20181.18,,
CASANARE,TAURAMENA,4.697463691,-72.62922436,POINT (-72.62922436 4.697463691),VERANO ENERGY LIMITED SUCURSAL,KANANASKIS,LLA 32,7.415,10.5286,5.8682,0,0,0,0,0,23.8118,714.354,,
CASANARE,TAURAMENA,4.697463691,-72.62922436,POINT (-72.62922436 4.697463691),GEOPARK COLOMBIA S.A.S.,TILO,LLA 34,0.0423,0.0455,0.0571,0.0577,0.0211,0.049,0.0582,0.0579,0.3888,11.664,,
CASANARE,TAURAMENA,4.697463691,-72.62922436,POINT (-72.62922436 4.697463691),GEOPARK COLOMBIA S.A.S.,TUA,LLA 34,0.2098,0.2109,0.2063,0.2034,0.1834,0.2092,0.1796,0.1363,1.5389,46.167,,
CASANARE,TRINIDAD,5.354527091,-71.25479519,POINT (-71.25479519 5.354527091),LEWIS ENERGY COLOMBIA INC,AZAFRÁN,GUACHIRIA SUR,0,0,0.0013,0.0013,0.001,0.0009,0.001,0.0011,0.0066,0.198,,
CASANARE,TRINIDAD,5.354527091,-71.25479519,POINT (-71.25479519 5.354527091),PERENCO COLOMBIA LIMITED,COREN,COROCORA,0.0935,0.1071,0.1097,0.1083,0.1054,0.1057,0.1064,0.1076,0.8437,25.311,,
